Site;nbsp;sing.sp;FRic;qual.FRic;FEve;FDiv;FDis;RaoQ;CWM.Species;CWM.RelocationStrategy;CWM.TemporalSegregation;CWM.HabitatPrefence;CWM.Feeding;CWM.Group
1;6;6;0.068338832;0.618757546;0.908133731;0.909334948;0.399637021;0.160585141;Coprophanaeus_pluto;1;1.384615385;1;0.846153846;2.307692308
2;7;7;0.051630544;0.618757546;0.803063286;0.875655124;0.346811442;0.127204383;Canthon_indigaceus_chiapas;0;1.164705882;1;0.588235294;2.482352941
3;8;8;0.054993559;0.618757546;0.415947899;0.868638018;0.277506702;0.081591437;Onthophagus_hoepfneri;1;1.542372881;1;0.076271186;3.254237288
4;6;6;0.039209574;0.618757546;0.56655422;0.870758473;0.31314581;0.111326725;Canthon_indigaceus_chiapas;0;1.266129032;1;0.241935484;2.64516129
5;5;5;0.034205368;0.618757546;0.503623772;0.644480593;0.157353667;0.051351852;Canthon_indigaceus_chiapas;0;1.1;1;0.166666667;1.5
6;8;8;0.062499941;0.618757546;0.830129609;0.854031807;0.341779816;0.12393447;Deltochilum_lobipes;0;1.344827586;1;0.965517241;1.620689655
7;9;9;0.09358446;0.618757546;0.748670976;0.955015282;0.255629873;0.091092828;Canthon_cyanellus;0;1.027522936;0;1.458715596;2.339449541
8;6;6;0.032871542;0.618757546;0.747178906;0.809042469;0.290517876;0.094205556;Onthophagus_hoepfneri;1;1.4;1;0.1;3.55
9;5;5;0.017156446;0.618757546;0.312023584;0.85621444;0.277521953;0.081915145;Canthon_cyanellus;0;1.021276596;0;1.021276596;1.70212766
10;4;4;0.003609387;0.618757546;0.798196644;0.593472553;0.177608815;0.045138889;Canthon_indigaceus_chiapas;0;1.25;1;0.25;0.875
11;6;6;0.04443638;0.618757546;0.488175167;0.961219903;0.300523019;0.111591908;Canthon_cyanellus;0;1.339285714;0;1.625;2.714285714
12;7;7;0.038783877;0.618757546;0.425881752;0.97485529;0.316920792;0.117629762;Canthon_cyanellus;0;1.085714286;0;1.214285714;2.614285714
13;10;10;0.09262229;0.618757546;0.666876166;0.901632554;0.350022565;0.12956035;Canthon_cyanellus;0;1.164948454;0;0.989690722;3
14;8;8;0.040297807;0.618757546;0.625691835;0.97126656;0.406605283;0.168660837;Canthon_cyanellus;0;1.277777778;0;1.055555556;3
15;10;10;0.09071632;0.618757546;0.587224031;0.980232479;0.298754965;0.104814613;Canthon_cyanellus;0;1.089385475;0;1.318435754;2.413407821
