Species;RelocationStrategy;TemporalSegregation;FeedingStrategy;HabitatPrefence;Size;Group
Canthidium_pseudopunticolle;Tunellers;TemporalSegregationD;FeedingStrategyG;HabitatPrefenceG;SmallSize;TunnSmall
Canthon_circulatus;Rollers;TemporalSegregationD;FeedingStrategyG;HabitatPrefenceS;SmallSize;RollSmall
Canthon_cyanellus;Rollers;TemporalSegregationD;FeedingStrategyN;HabitatPrefenceG;MediumSize;RollMedium
Canthon_indigaceus_chiapas;Rollers;TemporalSegregationD;FeedingStrategyC;HabitatPrefenceS;MediumSize;RollMedium
Canthon_leechi;Rollers;TemporalSegregationD;FeedingStrategyG;HabitatPrefenceG;SmallSize;RollSmall
Copris_incertus;Tunellers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;MediumSize;TunnMedium
Coprophanaeus_pluto;Tunellers;TemporalSegregationN;FeedingStrategyN;HabitatPrefenceG;LargeSize;TunnLarge
Deltochilum_carilloi;Rollers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;LargeSize;RollLarge
Deltochilum_lobipes;Rollers;TemporalSegregationN;FeedingStrategyG;HabitatPrefenceS;LargeSize;RollLarge
Deltochilum_scabriusculum;Rollers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;LargeSize;RollLarge
Dichotomius_amplicollis;Tunellers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;LargeSize;TunnLarge
Digitonthophagus_gazella;Tunellers;TemporalSegregationC;FeedingStrategyC;HabitatPrefenceS;MediumSize;TunnMedium
Onthophagus_batesi;Tunellers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceG;SmallSize;TunnSmall
Onthophagus_hoepfneri;Tunellers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;SmallSize;TunnSmall
Onthophagus_landolti;Tunellers;TemporalSegregationD;FeedingStrategyC;HabitatPrefenceG;SmallSize;TunnSmall
Phanaeus_tridens;Tunellers;TemporalSegregationD;FeedingStrategyC;HabitatPrefenceS;MediumSize;TunnMedium
Pseudocanthon_perplexus;Tunellers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;SmallSize;TunnSmall
Uroxys_sp;Rollers;TemporalSegregationN;FeedingStrategyC;HabitatPrefenceS;SmallSize;RollSmall
