Species;RelocationStrategy;TemporalSegregation;HabitatPrefence;Feeding;Group
Canthidium_pseudopunticolle;1;1;0;1;5
Canthon_circulatus;0;1;1;1;2
Canthon_cyanellus;0;1;0;2;2
Canthon_indigaceus_chiapas;0;1;1;0;1
Canthon_leechi;0;1;0;1;2
Copris_incertus;1;2;1;0;4
Coprophanaeus_pluto;1;2;0;2;3
Deltochilum_carilloi;0;2;1;0;0
Deltochilum_lobipes;0;2;1;1;0
Deltochilum_scabriusculum;0;2;1;0;0
Dichotomius_amplicollis;1;2;1;0;3
Digitonthophagus_gazella;1;0;1;0;4
Onthophagus_batesi;1;2;0;0;5
Onthophagus_hoepfneri;1;2;1;0;5
Onthophagus_landolti;1;1;0;0;5
Phanaeus_tridens;1;1;1;0;4
Pseudocanthon_perplexus;1;2;1;0;5
Uroxys_sp;0;2;1;0;2
