BurningRegime;Species_Canthidium_pseudopunticolle;Species_Canthon_circulatus;Species_Canthon_cyanellus;Species_Canthon_indigaceus_chiapas;Species_Canthon_leechi;Species_Copris_incertus;Species_Coprophanaeus_pluto;Species_Deltochilum_carilloi;Species_Deltochilum_lobipes;Species_Deltochilum_scabriusculum;Species_Dichotomius_amplicollis;Species_Digitonthophagus_gazella;Species_Onthophagus_batesi;Species_Onthophagus_hoepfneri;Species_Onthophagus_landolti;Species_Phanaeus_tridens;Species_Pseudocanthon_perplexus;Species_Uroxys_sp;RelocationStrategy_Rollers;RelocationStrategy_Tunellers;TemporalSegregation_TemporalSegregationC;TemporalSegregation_TemporalSegregationD;TemporalSegregation_TemporalSegregationN;FeedingStrategy_FeedingStrategyC;FeedingStrategy_FeedingStrategyG;FeedingStrategy_FeedingStrategyN;HabitatPrefence_HabitatPrefenceG;HabitatPrefence_HabitatPrefenceS;Size_LargeSize;Size_MediumSize;Size_SmallSize;Group_RollLarge;Group_RollMedium;Group_RollSmall;Group_TunnLarge;Group_TunnMedium;Group_TunnSmall
High;0;0;0;0.230769231;0.076923077;0;0.307692308;0;0.153846154;0;0;0.153846154;0;0.076923077;0;0;0;0;0.461538462;0.538461538;0.153846154;0.307692308;0.538461538;0.461538462;0.230769231;0.307692308;0.384615385;0.615384615;0.461538462;0.384615385;0.153846154;0.153846154;0.230769231;0.076923077;0.307692308;0.153846154;0.076923077
High;0.164705882;0;0.152941176;0.411764706;0.094117647;0;0;0;0.023529412;0;0;0;0;0.141176471;0;0.011764706;0;0;0.682352941;0.317647059;0;0.835294118;0.164705882;0.564705882;0.282352941;0.152941176;0.411764706;0.588235294;0.023529412;0.576470588;0.4;0.023529412;0.564705882;0.094117647;0;0.011764706;0.305882353
High;0.008474576;0;0;0.322033898;0.008474576;0;0;0;0.059322034;0;0.016949153;0.016949153;0;0.483050847;0;0.084745763;0;0;0.389830508;0.610169492;0.016949153;0.423728814;0.559322034;0.923728814;0.076271186;0;0.016949153;0.983050847;0.076271186;0.423728814;0.5;0.059322034;0.322033898;0.008474576;0.016949153;0.101694915;0.491525424
High;0;0;0.112903226;0.475806452;0;0.024193548;0.008064516;0;0;0;0;0.072580645;0;0.306451613;0;0;0;0;0.588709677;0.411290323;0.072580645;0.588709677;0.338709677;0.879032258;0;0.120967742;0.120967742;0.879032258;0.008064516;0.685483871;0.306451613;0;0.588709677;0;0.008064516;0.096774194;0.306451613
High;0;0;0.066666667;0.766666667;0;0;0;0;0.033333333;0;0;0;0;0.066666667;0;0.066666667;0;0;0.866666667;0.133333333;0;0.9;0.1;0.9;0.033333333;0.066666667;0.066666667;0.933333333;0.033333333;0.9;0.066666667;0.033333333;0.833333333;0;0;0.066666667;0.066666667
Low;0;0;0.206896552;0.068965517;0.172413793;0;0.034482759;0;0.310344828;0.034482759;0;0.034482759;0;0;0;0.137931034;0;0;0.793103448;0.206896552;0.034482759;0.586206897;0.379310345;0.275862069;0.482758621;0.24137931;0.413793103;0.586206897;0.379310345;0.448275862;0.172413793;0.344827586;0.275862069;0.172413793;0.034482759;0.172413793;0
Low;0;0;0.669724771;0.04587156;0.082568807;0;0.018348624;0;0;0.009174312;0;0.009174312;0;0.009174312;0.027522936;0.128440367;0;0;0.80733945;0.19266055;0.009174312;0.95412844;0.036697248;0.229357798;0.082568807;0.688073394;0.798165138;0.201834862;0.027522936;0.853211009;0.119266055;0.009174312;0.71559633;0.082568807;0.018348624;0.137614679;0.036697248
Low;0;0;0;0.3;0;0;0.05;0;0;0;0;0.05;0;0.4;0.1;0.1;0;0;0.3;0.7;0.05;0.5;0.45;0.95;0;0.05;0.15;0.85;0.05;0.45;0.5;0;0.3;0;0.05;0.15;0.5
Low;0;0;0.468085106;0.404255319;0.085106383;0;0;0;0;0;0;0;0;0.021276596;0;0.021276596;0;0;0.957446809;0.042553191;0;0.978723404;0.021276596;0.446808511;0.085106383;0.468085106;0.553191489;0.446808511;0;0.893617021;0.106382979;0;0.872340426;0.085106383;0;0.021276596;0.021276596
Low;0;0;0;0.625;0;0;0;0.0625;0.25;0;0;0.0625;0;0;0;0;0;0;0.9375;0.0625;0.0625;0.625;0.3125;0.75;0.25;0;0;1;0.3125;0.6875;0;0.3125;0.625;0;0;0.0625;0
