BurningRegime;Canthidium_pseudopunticolle;Canthon_circulatus;Canthon_cyanellus;Canthon_indigaceus_chiapas;Canthon_leechi;Copris_incertus;Coprophanaeus_pluto;Deltochilum_carilloi;Deltochilum_lobipes;Deltochilum_scabriusculum;Dichotomius_amplicollis;Digitonthophagus_gazella;Onthophagus_batesi;Onthophagus_hoepfneri;Onthophagus_landolti;Phanaeus_tridens;Pseudocanthon_perplexus;Uroxys_sp
High;0;0;0;3;1;0;4;0;2;0;0;2;0;1;0;0;0;0
High;14;0;13;35;8;0;0;0;2;0;0;0;0;12;0;1;0;0
High;1;0;0;38;1;0;0;0;7;0;2;2;0;57;0;10;0;0
High;0;0;14;59;0;3;1;0;0;0;0;9;0;38;0;0;0;0
High;0;0;2;23;0;0;0;0;1;0;0;0;0;2;0;2;0;0
Low;0;0;6;2;5;0;1;0;9;1;0;1;0;0;0;4;0;0
Low;0;0;73;5;9;0;2;0;0;1;0;1;0;1;3;14;0;0
Low;0;0;0;6;0;0;1;0;0;0;0;1;0;8;2;2;0;0
Low;0;0;22;19;4;0;0;0;0;0;0;0;0;1;0;1;0;0
Low;0;0;0;10;0;0;0;1;4;0;0;1;0;0;0;0;0;0
Null;1;0;34;1;0;0;11;0;0;0;0;0;0;8;1;0;0;0
Null;0;0;34;0;15;0;1;0;0;0;2;0;0;3;1;14;0;0
Null;7;0;33;1;8;0;2;0;11;0;1;0;0;2;26;6;0;0
Null;0;0;36;2;1;0;0;0;3;0;0;3;0;19;0;7;1;0
Null;0;32;100;0;0;0;1;0;2;5;3;0;3;0;13;18;0;2
