Species;Null;Low;High
Canthidium_pseudopunticolle;8;0;15
Canthon_circulatus;32;0;0
Canthon_cyanellus;237;101;29
Canthon_indigaceus_chiapas;4;42;158
Canthon_leechi;24;18;10
Copris_incertus;0;0;3
Coprophanaeus_pluto;15;4;5
Deltochilum_carilloi;0;1;0
Deltochilum_lobipes;16;13;12
Deltochilum_scabriusculum;5;2;0
Dichotomius_amplicollis;6;0;2
Digitonthophagus_gazella;3;4;13
Onthophagus_batesi;3;0;0
Onthophagus_hoepfneri;32;10;110
Onthophagus_landolti;41;5;0
Phanaeus_tridens;45;21;13
Pseudocanthon_perplexus;1;0;0
Uroxys_sp;2;0;0
